displayname	timestamp	x	y	z
Htcdesires000	36182220444000	4.4375	-44.4375	-36.375
Htcdesires000	36182233750000	4.9375	-44.5	-36.75
Htcdesires000	36182247269000	5.25	-44.375	-36.9375
Htcdesires000	36182258683000	5.75	-43.6875	-37.3125
Htcdesires000	36182269913000	5.75	-43.6875	-36.8125
Htcdesires000	36182282395000	5.4375	-43.375	-36.6875
Htcdesires000	36182295243000	5.0	-43.6875	-36.8125
Htcdesires000	36182308762000	4.3125	-44.1875	-36.3125
Htcdesires000	36182320420000	4.4375	-44.125	-36.5
Htcdesires000	36182332718000	4.875	-44.0	-36.6875
Htcdesires000	36182346299000	4.8125	-43.625	-36.4375
Htcdesires000	36182358506000	5.125	-44.125	-36.6875
Htcdesires000	36182370835000	5.5	-43.9375	-36.4375
Htcdesires000	36182386185000	5.0	-44.4375	-36.375
Htcdesires000	36182398392000	5.25	-44.75	-36.125
Htcdesires000	36182409622000	4.8125	-44.625	-36.3125
Htcdesires000	36182423691000	4.75	-44.875	-36.25
Htcdesires000	36182438523000	5.0625	-44.9375	-36.125
Htcdesires000	36182449936000	5.25	-45.1875	-36.3125
Htcdesires000	36182462601000	5.0	-44.6875	-36.375
Htcdesires000	36182477249000	4.75	-44.6875	-36.5
Htcdesires000	36182489243000	4.8125	-44.3125	-36.75
Htcdesires000	36182499802000	4.9375	-44.3125	-36.875
Htcdesires000	36182511093000	5.1875	-44.75	-37.375
Htcdesires000	36182524643000	5.5625	-44.6875	-37.4375
Htcdesires000	36182539536000	5.5	-44.9375	-37.0625
Htcdesires000	36182553604000	5.875	-44.5625	-37.0
Htcdesires000	36182567734000	5.875	-44.0	-36.25
Htcdesires000	36182580124000	5.5625	-44.25	-36.6875
Htcdesires000	36182593735000	6.0	-44.4375	-36.8125
Htcdesires000	36182606034000	5.5	-43.9375	-37.375
Htcdesires000	36182618332000	6.0625	-44.5	-37.8125
Htcdesires000	36182631241000	6.0625	-44.8125	-37.6875
Htcdesires000	36182643448000	5.375	-44.375	-38.0
Htcdesires000	36182656144000	5.4375	-44.875	-37.3125
Htcdesires000	36182668473000	4.9375	-44.75	-37.25
Htcdesires000	36182683640000	4.6875	-44.125	-36.5625
Htcdesires000	36182696030000	4.8125	-44.625	-36.4375
Htcdesires000	36182708084000	4.9375	-44.75	-36.3125
Htcdesires000	36182720658000	5.0	-45.125	-36.25
Htcdesires000	36182733719000	5.3125	-45.4375	-36.5
Htcdesires000	36182745316000	5.375	-45.0625	-36.3125
Htcdesires000	36182757370000	4.875	-44.6875	-37.4375
Htcdesires000	36182768936000	4.6875	-43.9375	-37.0
Htcdesires000	36182783768000	4.625	-43.875	-37.1875
Htcdesires000	36182798783000	5.5	-43.75	-37.5
Htcdesires000	36182811508000	5.375	-43.75	-36.9375
Htcdesires000	36182826187000	5.5625	-44.0	-37.0
Htcdesires000	36182840470000	5.4375	-44.125	-36.375
Htcdesires000	36182852768000	4.875	-44.4375	-36.25
Htcdesires000	36182864914000	5.4375	-44.875	-36.25
Htcdesires000	36182878830000	5.75	-45.3125	-36.0625
Htcdesires000	36182890305000	5.75	-44.875	-36.5
Htcdesires000	36182901566000	5.4375	-45.0	-36.375
Htcdesires000	36182912979000	5.0625	-44.9375	-36.125
Htcdesires000	36182925461000	4.4375	-44.5625	-36.375
Htcdesires000	36182938950000	4.125	-45.125	-36.6875
Htcdesires000	36182950882000	4.625	-44.5	-36.75
Htcdesires000	36182963120000	5.0625	-44.5	-36.625
Htcdesires000	36182974228000	5.5625	-44.8125	-36.6875
Htcdesires000	36182987748000	6.25	-44.5	-36.75
Htcdesires000	36182998795000	5.6875	-44.8125	-36.8125
Htcdesires000	36183009720000	5.5625	-44.5625	-36.8125
Htcdesires000	36183021225000	5.25	-44.25	-37.125
Htcdesires000	36183034714000	5.125	-44.5625	-36.8125
Htcdesires000	36183048935000	5.6875	-45.0	-36.6875
Htcdesires000	36183063797000	5.125	-45.125	-37.25
Htcdesires000	36183078110000	5.3125	-45.125	-36.8125
Htcdesires000	36183089585000	5.125	-44.6875	-36.6875
Htcdesires000	36183101212000	5.0	-44.125	-36.375
Htcdesires000	36183112595000	5.4375	-44.5625	-36.0625
Htcdesires000	36183127396000	5.625	-44.5	-35.8125
Htcdesires000	36183139054000	5.5625	-44.5625	-36.0625
Htcdesires000	36183153611000	5.375	-44.9375	-36.125
Htcdesires000	36183165085000	5.3125	-44.375	-36.0625
Htcdesires000	36183176316000	5.0625	-44.4375	-36.625
Htcdesires000	36183191117000	5.0625	-44.3125	-36.0
Htcdesires000	36183202622000	5.3125	-43.9375	-36.0625
Htcdesires000	36183217301000	5.5	-44.0625	-36.125
Htcdesires000	36183229630000	5.5	-43.875	-36.125
Htcdesires000	36183243546000	5.5625	-44.0	-36.6875
