displayname	timestamp	x	y	z
Htcdesires000	36098196488000	193.0	-2.0	7.0
Htcdesires000	36098259690000	193.0	-2.0	8.0
Htcdesires000	36098392563000	193.0	-2.0	7.0
Htcdesires000	36098404587000	193.0	-2.0	8.0
Htcdesires000	36098440689000	193.0	-2.0	7.0
Htcdesires000	36098452835000	193.0	-2.0	8.0
Htcdesires000	36098591660000	193.0	-2.0	7.0
Htcdesires000	36098606308000	193.0	-2.0	8.0
Htcdesires000	36098699570000	193.0	-2.0	7.0
Htcdesires000	36098726090000	193.0	-2.0	8.0
Htcdesires000	36098784409000	193.0	-2.0	7.0
Htcdesires000	36098795700000	193.0	-2.0	8.0
Htcdesires000	36098806870000	193.0	-2.0	7.0
Htcdesires000	36098860184000	193.0	-2.0	8.0
Htcdesires000	36098896073000	193.0	-2.0	7.0
Htcdesires000	36098923477000	193.0	-2.0	8.0
Htcdesires000	36098962021000	193.0	-2.0	7.0
Htcdesires000	36098986710000	193.0	-2.0	8.0
Htcdesires000	36098999100000	193.0	-2.0	7.0
Htcdesires000	36099059677000	193.0	-2.0	8.0
Htcdesires000	36099082901000	193.0	-2.0	7.0
Htcdesires000	36099094132000	193.0	-2.0	8.0
Htcdesires000	36099229447000	193.0	-2.0	7.0
Htcdesires000	36099242020000	193.0	-2.0	8.0
Htcdesires000	36099284867000	193.0	-2.0	7.0
Htcdesires000	36099338700000	193.0	-1.0	7.0
Htcdesires000	36099348618000	193.0	-2.0	7.0
Htcdesires000	36099379044000	193.0	-2.0	8.0
Htcdesires000	36099389054000	193.0	-2.0	7.0
Htcdesires000	36099459275000	193.0	-2.0	8.0
Htcdesires000	36099549210000	193.0	-2.0	7.0
Htcdesires000	36099559830000	193.0	-2.0	8.0
Htcdesires000	36099875595000	193.0	-2.0	7.0
Htcdesires000	36099885727000	193.0	-2.0	8.0
Htcdesires000	36099988541000	193.0	-2.0	7.0
Htcdesires000	36100023545000	193.0	-2.0	8.0
Htcdesires000	36100036698000	193.0	-3.0	8.0
Htcdesires000	36100070908000	193.0	-2.0	8.0
Htcdesires000	36100127579000	193.0	-2.0	7.0
Htcdesires000	36100139847000	193.0	-2.0	8.0
Htcdesires000	36100153519000	193.0	-2.0	7.0
Htcdesires000	36100168381000	193.0	-2.0	8.0
Htcdesires000	36100331986000	193.0	-2.0	7.0
Htcdesires000	36100401596000	193.0	-2.0	8.0
Htcdesires000	36100590805000	193.0	-2.0	7.0
Htcdesires000	36100604813000	193.0	-2.0	8.0
Htcdesires000	36100713517000	193.0	-2.0	7.0
Htcdesires000	36100728379000	193.0	-2.0	8.0
Htcdesires000	36100857498000	193.0	-2.0	7.0
Htcdesires000	36100881241000	193.0	-2.0	8.0
Htcdesires000	36101012833000	193.0	-2.0	7.0
Htcdesires000	36101050217000	193.0	-2.0	8.0
Htcdesires000	36101076554000	193.0	-2.0	7.0
Htcdesires000	36101089127000	193.0	-2.0	8.0
Htcdesires000	36101123795000	193.0	-2.0	7.0
Htcdesires000	36101137009000	193.0	-2.0	8.0
Htcdesires000	36101157120000	194.0	-2.0	8.0
Htcdesires000	36101191330000	193.0	-2.0	8.0
Htcdesires000	36101205857000	194.0	-2.0	8.0
Htcdesires000	36101272477000	193.0	-2.0	8.0
Htcdesires000	36101287247000	193.0	-2.0	7.0
Htcdesires000	36101298203000	193.0	-2.0	8.0
Htcdesires000	36101349747000	193.0	-2.0	7.0
Htcdesires000	36101383469000	193.0	-2.0	8.0
Htcdesires000	36101486313000	193.0	-2.0	7.0
Htcdesires000	36101539444000	193.0	-2.0	8.0
Htcdesires000	36101660050000	193.0	-2.0	7.0
Htcdesires000	36101672074000	193.0	-2.0	8.0
Htcdesires000	36101763047000	193.0	-2.0	7.0
Htcdesires000	36101789475000	193.0	-2.0	8.0
Htcdesires000	36101843674000	193.0	-2.0	7.0
Htcdesires000	36101899460000	192.0	-2.0	7.0
Htcdesires000	36101911270000	193.0	-2.0	7.0
Htcdesires000	36101923691000	192.0	-2.0	7.0
Htcdesires000	36101993180000	193.0	-2.0	8.0
Htcdesires000	36102060593000	192.0	-2.0	8.0
Htcdesires000	36102095230000	193.0	-2.0	8.0
Htcdesires000	36102137711000	193.0	-2.0	7.0
Htcdesires000	36102149979000	193.0	-2.0	8.0
Htcdesires000	36102163468000	193.0	-2.0	7.0
Htcdesires000	36102211136000	193.0	-2.0	8.0
Htcdesires000	36102262375000	193.0	-2.0	7.0
Htcdesires000	36102389084000	193.0	-2.0	8.0
Htcdesires000	36102560776000	193.0	-2.0	7.0
Htcdesires000	36102583847000	193.0	-2.0	8.0
Htcdesires000	36102593888000	193.0	-2.0	7.0
Htcdesires000	36102607224000	193.0	-2.0	8.0
Htcdesires000	36102639633000	193.0	-2.0	7.0
Htcdesires000	36102650956000	193.0	-2.0	8.0
Htcdesires000	36102664078000	193.0	-2.0	7.0
Htcdesires000	36102727341000	193.0	-2.0	8.0
Htcdesires000	36102780991000	193.0	-2.0	7.0
Htcdesires000	36102803086000	193.0	-2.0	8.0
Htcdesires000	36102814316000	193.0	-2.0	7.0
Htcdesires000	36102860764000	193.0	-2.0	8.0
Htcdesires000	36102939377000	193.0	-2.0	7.0
Htcdesires000	36102982895000	193.0	-2.0	8.0
Htcdesires000	36103021988000	193.0	-2.0	7.0
Htcdesires000	36103084763000	193.0	-2.0	8.0
