displayname	timestamp	x	y	z
Nexus6x07	2297170694604	112.0	-1.0	2.0
Nexus6x07	2297175150170	112.0	-1.0	2.0
Nexus6x07	2297179636254	112.0	-1.0	2.0
Nexus6x07	2297184091821	112.0	-1.0	2.0
Nexus6x07	2297188577905	112.0	-1.0	2.0
Nexus6x07	2297193033471	112.0	-1.0	2.0
Nexus6x07	2297197519555	112.0	-1.0	2.0
Nexus6x07	2297201975121	112.0	-1.0	2.0
Nexus6x07	2297206461205	112.0	-1.0	2.0
Nexus6x07	2297210916772	112.0	-1.0	2.0
Nexus6x07	2297215402856	112.0	-1.0	2.0
Nexus6x07	2297219858422	112.0	-1.0	2.0
Nexus6x07	2297224344506	112.0	-1.0	2.0
Nexus6x07	2297228800072	112.0	-1.0	2.0
Nexus6x07	2297233255639	112.0	-1.0	2.0
Nexus6x07	2297237741723	112.0	-1.0	2.0
Nexus6x07	2297242197289	112.0	-1.0	2.0
Nexus6x07	2297246683373	112.0	-1.0	2.0
Nexus6x07	2297251138940	112.0	-1.0	2.0
Nexus6x07	2297255625024	112.0	-1.0	2.0
Nexus6x07	2297260080590	112.0	-1.0	2.0
Nexus6x07	2297264566674	112.0	-1.0	2.0
Nexus6x07	2297269022240	112.0	-1.0	2.0
Nexus6x07	2297273508324	112.0	-1.0	2.0
Nexus6x07	2297277963891	112.0	-1.0	2.0
Nexus6x07	2297282449975	112.0	-1.0	2.0
Nexus6x07	2297286905541	112.0	-1.0	2.0
Nexus6x07	2297291391625	112.0	-1.0	2.0
Nexus6x07	2297295847192	112.0	-1.0	2.0
Nexus6x07	2297300333276	112.0	-1.0	2.0
Nexus6x07	2297304788842	112.0	-1.0	2.0
Nexus6x07	2297309274926	112.0	-1.0	2.0
Nexus6x07	2297313730492	112.0	-1.0	2.0
Nexus6x07	2297318216576	112.0	-1.0	2.0
Nexus6x07	2297322672143	112.0	-1.0	2.0
Nexus6x07	2297327158227	112.0	-1.0	2.0
Nexus6x07	2297331613793	112.0	-1.0	2.0
Nexus6x07	2297336099877	112.0	-1.0	2.0
Nexus6x07	2297340555444	112.0	-1.0	2.0
Nexus6x07	2297345011010	112.0	-1.0	2.0
Nexus6x07	2297349497094	112.0	-1.0	2.0
Nexus6x07	2297353952660	112.0	-1.0	2.0
Nexus6x07	2297358438744	112.0	-1.0	2.0
Nexus6x07	2297362894311	112.0	-1.0	2.0
Nexus6x07	2297367380395	112.0	-1.0	2.0
Nexus6x07	2297371835961	112.0	-1.0	2.0
Nexus6x07	2297376322045	112.0	-1.0	2.0
Nexus6x07	2297380777612	112.0	-1.0	2.0
Nexus6x07	2297385263696	112.0	-1.0	2.0
Nexus6x07	2297389719262	112.0	-1.0	2.0
Nexus6x07	2297394205346	112.0	-1.0	2.0
Nexus6x07	2297398660912	112.0	-1.0	2.0
Nexus6x07	2297403146996	112.0	-1.0	2.0
Nexus6x07	2297407602563	112.0	-1.0	2.0
Nexus6x07	2297412088647	112.0	-1.0	2.0
Nexus6x07	2297416544213	112.0	-1.0	2.0
Nexus6x07	2297421030297	112.0	-1.0	2.0
Nexus6x07	2297425485864	112.0	-1.0	2.0
Nexus6x07	2297429971947	112.0	-1.0	2.0
Nexus6x07	2297434427514	112.0	-1.0	2.0
Nexus6x07	2297438913598	112.0	-1.0	2.0
Nexus6x07	2297443369164	112.0	-1.0	2.0
Nexus6x07	2297447824731	112.0	-1.0	2.0
Nexus6x07	2297452310815	112.0	-1.0	2.0
Nexus6x07	2297456766381	112.0	-1.0	2.0
Nexus6x07	2297461252465	112.0	-1.0	2.0
Nexus6x07	2297465708031	112.0	-1.0	2.0
Nexus6x07	2297470194115	112.0	-1.0	2.0
Nexus6x07	2297474649682	112.0	-1.0	2.0
Nexus6x07	2297479135766	112.0	-1.0	2.0
Nexus6x07	2297483591332	112.0	-1.0	2.0
Nexus6x07	2297488077416	112.0	-1.0	2.0
Nexus6x07	2297492532983	112.0	-1.0	2.0
Nexus6x07	2297497019067	112.0	-1.0	2.0
Nexus6x07	2297501474633	112.0	-1.0	2.0
Nexus6x07	2297505960717	112.0	-1.0	2.0
Nexus6x07	2297510416283	112.0	-1.0	2.0
Nexus6x07	2297514902367	112.0	-1.0	2.0
Nexus6x07	2297519357934	112.0	-1.0	2.0
Nexus6x07	2297523844018	112.0	-1.0	2.0
Nexus6x07	2297528299584	112.0	-1.0	2.0
Nexus6x07	2297532785668	112.0	-1.0	2.0
Nexus6x07	2297537241235	112.0	-1.0	2.0
Nexus6x07	2297541727319	112.0	-1.0	2.0
Nexus6x07	2297546182885	112.0	-1.0	2.0
Nexus6x07	2297550638451	112.0	-1.0	2.0
Nexus6x07	2297555124535	112.0	-1.0	2.0
Nexus6x07	2297559580102	112.0	-1.0	2.0
Nexus6x07	2297564066186	112.0	-1.0	2.0
Nexus6x07	2297568521752	112.0	-1.0	2.0
Nexus6x07	2297573007836	112.0	-1.0	2.0
Nexus6x07	2297577463403	112.0	-1.0	2.0
Nexus6x07	2297581949487	112.0	-1.0	2.0
Nexus6x07	2297586405053	112.0	-1.0	2.0
Nexus6x07	2297590891137	112.0	-1.0	2.0
Nexus6x07	2297595346703	112.0	-1.0	2.0
Nexus6x07	2297599832787	112.0	-1.0	2.0
Nexus6x07	2297604288354	112.0	-1.0	2.0
Nexus6x07	2297608774438	112.0	-1.0	2.0
Nexus6x07	2297613230004	112.0	-1.0	2.0
Nexus6x07	2297617716088	112.0	-1.0	2.0
Nexus6x07	2297622171655	112.0	-1.0	2.0
Nexus6x07	2297626657739	112.0	-1.0	2.0
Nexus6x07	2297631113305	112.0	-1.0	2.0
Nexus6x07	2297635599389	112.0	-1.0	2.0
Nexus6x07	2297640054955	112.0	-1.0	2.0
Nexus6x07	2297644541039	112.0	-1.0	2.0
Nexus6x07	2297648996606	112.0	-1.0	2.0
Nexus6x07	2297653452172	112.0	-1.0	2.0
Nexus6x07	2297657938256	112.0	-1.0	2.0
