displayname	timestamp	x	y	z
Nexus6x05	1946207172782981	120.0	-1.0	0.0
Nexus6x05	1946207177238547	120.0	-1.0	0.0
Nexus6x05	1946207181663596	120.0	-1.0	0.0
Nexus6x05	1946207186119163	120.0	-1.0	0.0
Nexus6x05	1946207190544211	120.0	-1.0	0.0
Nexus6x05	1946207194999778	120.0	-1.0	0.0
Nexus6x05	1946207199455344	120.0	-1.0	0.0
Nexus6x05	1946207203880393	120.0	-1.0	0.0
Nexus6x05	1946207208335959	120.0	-1.0	0.0
Nexus6x05	1946207212761008	120.0	-1.0	0.0
Nexus6x05	1946207217216575	120.0	-1.0	0.0
Nexus6x05	1946207221672141	120.0	-1.0	0.0
Nexus6x05	1946207226097190	120.0	-1.0	0.0
Nexus6x05	1946207230552756	120.0	-1.0	0.0
Nexus6x05	1946207234977805	120.0	-1.0	0.0
Nexus6x05	1946207239433372	120.0	-1.0	0.0
Nexus6x05	1946207243858420	120.0	-1.0	0.0
Nexus6x05	1946207248313987	120.0	-1.0	0.0
Nexus6x05	1946207252769553	120.0	-1.0	0.0
Nexus6x05	1946207257194602	120.0	-1.0	0.0
Nexus6x05	1946207261650168	120.0	-1.0	0.0
Nexus6x05	1946207266075217	120.0	-1.0	0.0
Nexus6x05	1946207270530784	120.0	-1.0	0.0
Nexus6x05	1946207274986350	120.0	-1.0	0.0
Nexus6x05	1946207279411399	120.0	-1.0	0.0
Nexus6x05	1946207283866965	120.0	-1.0	0.0
Nexus6x05	1946207288292014	120.0	-1.0	0.0
Nexus6x05	1946207292747581	120.0	-1.0	0.0
Nexus6x05	1946207297172629	120.0	-1.0	0.0
Nexus6x05	1946207301628196	120.0	-1.0	0.0
Nexus6x05	1946207306083762	120.0	-1.0	0.0
Nexus6x05	1946207310508811	120.0	-1.0	0.0
Nexus6x05	1946207314964377	120.0	-1.0	0.0
Nexus6x05	1946207319389426	120.0	-1.0	0.0
Nexus6x05	1946207323844993	120.0	-1.0	0.0
Nexus6x05	1946207328270041	120.0	-1.0	0.0
Nexus6x05	1946207332725608	120.0	-1.0	0.0
Nexus6x05	1946207337181174	120.0	-1.0	0.0
Nexus6x05	1946207341606223	120.0	-1.0	0.0
Nexus6x05	1946207346061790	120.0	-1.0	0.0
Nexus6x05	1946207350486838	120.0	-1.0	0.0
Nexus6x05	1946207354942405	120.0	-1.0	0.0
Nexus6x05	1946207359397971	120.0	-1.0	0.0
Nexus6x05	1946207363823020	120.0	-1.0	0.0
Nexus6x05	1946207368278586	120.0	-1.0	0.0
Nexus6x05	1946207372703635	120.0	-1.0	0.0
Nexus6x05	1946207377159202	120.0	-1.0	0.0
Nexus6x05	1946207381584250	120.0	-1.0	0.0
Nexus6x05	1946207386039817	120.0	-1.0	0.0
Nexus6x05	1946207390495383	120.0	-1.0	0.0
Nexus6x05	1946207394920432	120.0	-1.0	0.0
Nexus6x05	1946207399375998	120.0	-1.0	0.0
Nexus6x05	1946207403801047	120.0	-1.0	0.0
Nexus6x05	1946207408256614	120.0	-1.0	0.0
Nexus6x05	1946207412681663	120.0	-1.0	0.0
Nexus6x05	1946207417137229	120.0	-1.0	0.0
Nexus6x05	1946207421592795	120.0	-1.0	0.0
Nexus6x05	1946207426017844	120.0	-1.0	0.0
Nexus6x05	1946207430473411	120.0	-1.0	0.0
Nexus6x05	1946207434898459	120.0	-1.0	0.0
Nexus6x05	1946207439354026	120.0	-1.0	0.0
Nexus6x05	1946207443809592	120.0	-1.0	0.0
Nexus6x05	1946207448234641	120.0	-1.0	0.0
Nexus6x05	1946207452690207	120.0	-1.0	0.0
Nexus6x05	1946207457115256	120.0	-1.0	0.0
Nexus6x05	1946207461570823	120.0	-1.0	0.0
Nexus6x05	1946207465995872	120.0	-1.0	0.0
Nexus6x05	1946207470451438	120.0	-1.0	0.0
Nexus6x05	1946207474907004	120.0	-1.0	0.0
Nexus6x05	1946207479332053	120.0	-1.0	0.0
Nexus6x05	1946207483787620	120.0	-1.0	0.0
Nexus6x05	1946207488212668	120.0	-1.0	0.0
Nexus6x05	1946207492668235	120.0	-1.0	0.0
Nexus6x05	1946207497123801	120.0	-1.0	0.0
Nexus6x05	1946207501548850	120.0	-1.0	0.0
Nexus6x05	1946207506004416	120.0	-1.0	0.0
Nexus6x05	1946207510429465	120.0	-1.0	0.0
Nexus6x05	1946207514885032	120.0	-1.0	0.0
Nexus6x05	1946207519310081	120.0	-1.0	0.0
Nexus6x05	1946207523765647	120.0	-1.0	0.0
Nexus6x05	1946207528221213	120.0	-1.0	0.0
Nexus6x05	1946207532646262	121.0	-1.0	0.0
Nexus6x05	1946207537101829	121.0	-1.0	0.0
Nexus6x05	1946207541526877	121.0	-1.0	0.0
Nexus6x05	1946207545982444	121.0	-1.0	0.0
Nexus6x05	1946207550407493	121.0	-1.0	0.0
Nexus6x05	1946207554863059	121.0	-1.0	0.0
Nexus6x05	1946207559318625	121.0	-1.0	0.0
Nexus6x05	1946207563743674	121.0	-1.0	0.0
Nexus6x05	1946207568199241	121.0	-1.0	0.0
Nexus6x05	1946207572624290	121.0	-1.0	0.0
Nexus6x05	1946207577079856	121.0	-1.0	0.0
Nexus6x05	1946207581535422	121.0	-1.0	0.0
Nexus6x05	1946207585960471	121.0	-1.0	0.0
Nexus6x05	1946207590416038	121.0	-1.0	0.0
Nexus6x05	1946207594841086	121.0	-1.0	0.0
Nexus6x05	1946207599296653	121.0	-1.0	0.0
Nexus6x05	1946207603721702	121.0	-1.0	0.0
Nexus6x05	1946207608177268	121.0	-1.0	0.0
Nexus6x05	1946207612632834	121.0	-1.0	0.0
Nexus6x05	1946207617057883	121.0	-1.0	0.0
Nexus6x05	1946207621513450	121.0	-1.0	0.0
Nexus6x05	1946207625938498	121.0	-1.0	0.0
Nexus6x05	1946207630394065	121.0	-1.0	0.0
Nexus6x05	1946207634819114	121.0	-1.0	0.0
Nexus6x05	1946207639274680	121.0	-1.0	0.0
Nexus6x05	1946207643730247	121.0	-1.0	0.0
Nexus6x05	1946207648155295	121.0	-1.0	0.0
Nexus6x05	1946207652610862	121.0	-1.0	0.0
Nexus6x05	1946207657035911	121.0	-1.0	0.0
Nexus6x05	1946207661491477	121.0	-1.0	0.0
Nexus6x05	1946207665947043	121.0	-1.0	0.0
Nexus6x05	1946207670372092	121.0	-1.0	0.0
Nexus6x05	1946207674827659	121.0	-1.0	0.0
