displayname	timestamp	x	y	z
Nexus4sven	1468624403675219553	289.0	0.0	0.0
Nexus4sven	1468624405942940301	289.0	0.0	0.0
Nexus4sven	1468624407150424048	288.0	0.0	0.0
Nexus4sven	1468624407301455542	289.0	0.0	0.0
Nexus4sven	1468624407452517554	288.0	0.0	0.0
Nexus4sven	1468624407905642554	289.0	0.0	0.0
Nexus4sven	1468624408208621069	288.0	0.0	0.0
Nexus4sven	1468624408358676001	289.0	0.0	0.0
Nexus4sven	1468624408812869116	288.0	0.0	0.0
Nexus4sven	1468624408963137671	289.0	0.0	0.0
Nexus4sven	1468624409264803931	288.0	0.0	0.0
Nexus4sven	1468624409567172095	289.0	0.0	0.0
Nexus4sven	1468624410022036597	288.0	0.0	0.0
Nexus4sven	1468624410171328589	289.0	0.0	0.0
