displayname	timestamp	x	y	z
SamsungGalaxyS3CM	5099413918000	353.26171875	-0.861399233341217	-1.3742315769195557
SamsungGalaxyS3CM	5099424599000	353.2594299316406	-0.8646768927574158	-1.37281334400177
SamsungGalaxyS3CM	5099438210000	353.2548828125	-0.8730362057685852	-1.3690574169158936
SamsungGalaxyS3CM	5099444619000	353.2548828125	-0.8730249404907227	-1.3690428733825684
SamsungGalaxyS3CM	5099457985000	353.2494201660156	-0.8831315636634827	-1.3645275831222534
SamsungGalaxyS3CM	5099464577000	353.2493896484375	-0.8831062316894531	-1.364527940750122
SamsungGalaxyS3CM	5099477669000	353.2442932128906	-0.8930565714836121	-1.3600703477859497
SamsungGalaxyS3CM	5099484444000	353.2442626953125	-0.8930407762527466	-1.3601006269454956
SamsungGalaxyS3CM	5099498055000	353.2397766113281	-0.9033551812171936	-1.3542817831039429
SamsungGalaxyS3CM	5099504464000	353.2397766113281	-0.9033212661743164	-1.3542940616607666
SamsungGalaxyS3CM	5099518074000	353.2350769042969	-0.9119391441345215	-1.3493860960006714
SamsungGalaxyS3CM	5099524453000	353.2350769042969	-0.9118939638137817	-1.3494129180908203
SamsungGalaxyS3CM	5099538094000	353.2295227050781	-0.9221022129058838	-1.3455729484558105
SamsungGalaxyS3CM	5099544442000	353.22955322265625	-0.9221051335334778	-1.3455023765563965
SamsungGalaxyS3CM	5099558144000	353.2251281738281	-0.932121992111206	-1.3419822454452515
SamsungGalaxyS3CM	5099564431000	353.22515869140625	-0.9319766759872437	-1.3418878316879272
SamsungGalaxyS3CM	5099578102000	353.22076416015625	-0.9397525191307068	-1.3373496532440186
SamsungGalaxyS3CM	5099584450000	353.2208251953125	-0.9395899772644043	-1.3373616933822632
SamsungGalaxyS3CM	5099598092000	353.21533203125	-0.9474055171012878	-1.332859754562378
SamsungGalaxyS3CM	5099604470000	353.2154235839844	-0.9473289847373962	-1.3329054117202759
SamsungGalaxyS3CM	5099618050000	353.2110290527344	-0.9574862122535706	-1.3284289836883545
SamsungGalaxyS3CM	5099624428000	353.2111511230469	-0.9574532508850098	-1.3284685611724854
SamsungGalaxyS3CM	5099638100000	353.2059631347656	-0.9675228595733643	-1.3239831924438477
SamsungGalaxyS3CM	5099644448000	353.20611572265625	-0.9674079418182373	-1.3240309953689575
SamsungGalaxyS3CM	5099658242000	353.20172119140625	-0.9775593280792236	-1.3202821016311646
SamsungGalaxyS3CM	5099664406000	353.2018737792969	-0.9775775671005249	-1.3203378915786743
SamsungGalaxyS3CM	5099674569000	353.1987609863281	-0.9848316311836243	-1.3163621425628662
SamsungGalaxyS3CM	5099692391000	353.19439697265625	-0.9950504899024963	-1.3119572401046753
SamsungGalaxyS3CM	5099705269000	353.1927795410156	-0.9985698461532593	-1.3108259439468384
SamsungGalaxyS3CM	5099714089000	353.18927001953125	-1.0049532651901245	-1.307990312576294
SamsungGalaxyS3CM	5099724190000	353.18682861328125	-1.0091686248779297	-1.306058645248413
SamsungGalaxyS3CM	5099734200000	353.18408203125	-1.0141305923461914	-1.303983449935913
SamsungGalaxyS3CM	5099747292000	353.1805725097656	-1.020033836364746	-1.30052649974823
SamsungGalaxyS3CM	5099753914000	353.18048095703125	-1.0196582078933716	-1.3006106615066528
SamsungGalaxyS3CM	5099766793000	353.17620849609375	-1.029171109199524	-1.2967759370803833
SamsungGalaxyS3CM	5099774025000	353.1760559082031	-1.0289504528045654	-1.29693603515625
SamsungGalaxyS3CM	5099787117000	353.17047119140625	-1.0391544103622437	-1.2929668426513672
SamsungGalaxyS3CM	5099794045000	353.1702575683594	-1.0389125347137451	-1.293190836906433
SamsungGalaxyS3CM	5099808205000	353.16571044921875	-1.0491094589233398	-1.289942979812622
SamsungGalaxyS3CM	5099814400000	353.1654357910156	-1.0487785339355469	-1.2902531623840332
SamsungGalaxyS3CM	5099828041000	353.16107177734375	-1.0585596561431885	-1.286014199256897
SamsungGalaxyS3CM	5099834420000	353.1607360839844	-1.0582784414291382	-1.2862834930419922
SamsungGalaxyS3CM	5099848030000	353.1552429199219	-1.068070888519287	-1.2819525003433228
SamsungGalaxyS3CM	5099854409000	353.1549072265625	-1.067647933959961	-1.2819781303405762
SamsungGalaxyS3CM	5099867989000	353.1494140625	-1.0758262872695923	-1.2776954174041748
SamsungGalaxyS3CM	5099874459000	353.1490478515625	-1.0753425359725952	-1.277948021888733
SamsungGalaxyS3CM	5099893746000	353.1439208984375	-1.084310531616211	-1.273005485534668
SamsungGalaxyS3CM	5099905800000	353.1410217285156	-1.0906137228012085	-1.2701084613800049
SamsungGalaxyS3CM	5099914193000	353.137939453125	-1.0961676836013794	-1.2677725553512573
SamsungGalaxyS3CM	5099928048000	353.13409423828125	-1.1010078191757202	-1.2648922204971313
SamsungGalaxyS3CM	5099934700000	353.1337585449219	-1.100285291671753	-1.2652162313461304
SamsungGalaxyS3CM	5099948037000	353.1282653808594	-1.1095892190933228	-1.2606821060180664
SamsungGalaxyS3CM	5099954323000	353.1279602050781	-1.1087061166763306	-1.260730266571045
SamsungGalaxyS3CM	5099968026000	353.12249755859375	-1.1177905797958374	-1.2565462589263916
SamsungGalaxyS3CM	5099974434000	353.1221618652344	-1.1167058944702148	-1.2569369077682495
SamsungGalaxyS3CM	5099988015000	353.1178283691406	-1.1258562803268433	-1.2529282569885254
SamsungGalaxyS3CM	5099994423000	353.1174621582031	-1.125201940536499	-1.253132939338684
SamsungGalaxyS3CM	5100004494000	353.1143798828125	-1.1302827596664429	-1.25029456615448
SamsungGalaxyS3CM	5100014565000	353.11175537109375	-1.1335631608963013	-1.2480547428131104
SamsungGalaxyS3CM	5100028023000	353.107421875	-1.1408122777938843	-1.2446285486221313
