displayname	timestamp	x	y	z
Nexus5x05	9310305053000	-65.75	-89.4375	-66.0625
Nexus5x05	9310339296000	-65.75	-89.4375	-67.6875
Nexus5x05	9310341815000	-65.0	-89.8125	-67.3125
Nexus5x05	9310358839000	-64.625	-89.125	-67.375
Nexus5x05	9310378624000	-65.375	-89.875	-67.75
Nexus5x05	9310398144000	-65.375	-89.875	-67.75
Nexus5x05	9310417793000	-65.0	-89.5	-66.1875
Nexus5x05	9310437313000	-65.75	-89.125	-67.375
Nexus5x05	9310456851000	-65.375	-89.125	-68.1875
Nexus5x05	9310476371000	-64.625	-89.125	-66.625
Nexus5x05	9310495939000	-65.75	-89.125	-67.4375
Nexus5x05	9310515459000	-63.5625	-89.125	-66.625
Nexus5x05	9310535059000	-64.25	-88.75	-66.25
Nexus5x05	9310554579000	-65.375	-89.125	-67.4375
Nexus5x05	9310574122000	-65.0	-89.5	-65.875
Nexus5x05	9310593642000	-65.0	-88.0625	-67.0625
Nexus5x05	9310613226000	-65.375	-88.75	-67.0625
Nexus5x05	9310632746000	-64.625	-89.125	-67.0625
Nexus5x05	9310652418000	-65.375	-88.75	-66.25
Nexus5x05	9310671938000	-65.375	-89.125	-66.6875
Nexus5x05	9310691555000	-65.75	-89.125	-66.6875
Nexus5x05	9310711075000	-65.0	-88.75	-66.25
Nexus5x05	9310730680000	-65.75	-89.5	-67.5
Nexus5x05	9310750200000	-65.75	-89.125	-67.0625
Nexus5x05	9310769820000	-65.75	-89.125	-66.6875
Nexus5x05	9310789340000	-65.0	-88.75	-67.5
Nexus5x05	9310808936000	-65.0	-88.75	-67.0625
Nexus5x05	9310828456000	-65.75	-88.75	-66.6875
Nexus5x05	9310848065000	-65.0	-90.25	-65.5
Nexus5x05	9310867585000	-65.0	-89.5	-67.125
Nexus5x05	9310887124000	-64.625	-89.5	-67.125
Nexus5x05	9310906644000	-63.9375	-88.75	-67.0625
Nexus5x05	9310926255000	-65.375	-89.875	-66.6875
Nexus5x05	9310945775000	-65.375	-89.5	-66.25
Nexus5x05	9310965400000	-65.375	-90.25	-67.125
Nexus5x05	9310984920000	-65.375	-89.5	-67.125
Nexus5x05	9311004479000	-65.375	-88.75	-67.125
Nexus5x05	9311023999000	-65.375	-89.5	-66.6875
Nexus5x05	9311043583000	-65.375	-89.875	-66.6875
Nexus5x05	9311063103000	-65.375	-90.625	-67.9375
Nexus5x05	9311082730000	-65.0	-89.5	-66.3125
Nexus5x05	9311102250000	-65.0	-89.125	-67.125
Nexus5x05	9311121844000	-62.8125	-88.75	-65.875
Nexus5x05	9311141364000	-62.4375	-88.75	-67.125
Nexus5x05	9311160961000	-62.4375	-88.4375	-65.875
Nexus5x05	9311180481000	-64.625	-89.5	-65.875
Nexus5x05	9311200079000	-65.375	-89.5	-66.6875
Nexus5x05	9311219599000	-65.375	-89.875	-65.125
Nexus5x05	9311239168000	-63.9375	-89.5	-66.3125
Nexus5x05	9311258688000	-65.75	-88.4375	-67.5
Nexus5x05	9311278286000	-65.375	-89.125	-66.6875
Nexus5x05	9311297806000	-65.75	-89.5	-66.6875
Nexus5x05	9311317402000	-65.75	-89.875	-66.6875
Nexus5x05	9311336922000	-65.75	-89.125	-66.6875
Nexus5x05	9311356523000	-65.75	-88.75	-66.6875
Nexus5x05	9311376043000	-65.375	-88.4375	-67.5
Nexus5x05	9311395688000	-66.125	-89.875	-67.125
Nexus5x05	9311415208000	-65.75	-88.0625	-67.9375
Nexus5x05	9311434797000	-65.375	-89.125	-66.3125
Nexus5x05	9311454317000	-65.0	-89.5	-67.5
Nexus5x05	9311473910000	-65.375	-88.75	-67.5
Nexus5x05	9311493430000	-65.375	-88.0625	-66.6875
Nexus5x05	9311512988000	-65.0	-89.125	-67.9375
Nexus5x05	9311532508000	-64.3125	-89.125	-65.875
Nexus5x05	9311552101000	-64.625	-88.0625	-67.125
Nexus5x05	9311571621000	-64.625	-88.4375	-67.125
Nexus5x05	9311591231000	-65.375	-89.125	-66.6875
Nexus5x05	9311610751000	-65.0	-89.125	-65.875
Nexus5x05	9311630375000	-65.375	-88.75	-67.125
Nexus5x05	9311649895000	-64.3125	-89.875	-66.6875
Nexus5x05	9311669481000	-65.375	-87.6875	-67.125
Nexus5x05	9311689001000	-65.375	-88.75	-67.5
Nexus5x05	9311708633000	-65.0	-88.75	-68.3125
Nexus5x05	9311728153000	-65.75	-88.0625	-66.6875
Nexus5x05	9311747716000	-64.625	-88.75	-67.5
Nexus5x05	9311767236000	-65.375	-88.75	-67.125
Nexus5x05	9311786774000	-64.3125	-90.625	-66.6875
Nexus5x05	9311806294000	-64.625	-89.125	-68.3125
Nexus5x05	9311825862000	-65.0	-89.125	-65.875
Nexus5x05	9311845382000	-66.5	-88.75	-67.9375
Nexus5x05	9311864986000	-65.375	-89.875	-67.125
Nexus5x05	9311884506000	-64.3125	-89.125	-67.125
Nexus5x05	9311904106000	-65.0	-89.5	-66.3125
Nexus5x05	9311923626000	-65.0	-89.5	-67.125
Nexus5x05	9311943212000	-65.0	-89.875	-66.6875
Nexus5x05	9311962732000	-64.3125	-88.4375	-67.5
Nexus5x05	9311982366000	-63.9375	-88.4375	-65.5
Nexus5x05	9312001886000	-65.375	-88.4375	-67.9375
Nexus5x05	9312021476000	-63.5625	-89.125	-66.3125
Nexus5x05	9312040996000	-65.0	-89.5	-67.5
Nexus5x05	9312060583000	-65.375	-88.75	-66.6875
Nexus5x05	9312080103000	-64.3125	-89.875	-65.875
