TYPE_ACCELEROMETER	TYPE_GRAVITY	TYPE_GYROSCOPE	TYPE_LINEAR_ACCELERATION	TYPE_MAGNETIC_FIELD	TYPE_PRESSURE	TYPE_ROTATION_VECTOR	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	3	0	0	
0	0	0	0	5	0	0	
0	0	0	0	7	0	0	
0	0	0	0	8	0	0	
0	0	0	0	12	0	0	
0	0	0	0	17	0	1	
0	0	0	0	25	0	1	
0	0	0	0	39	0	1	
0	0	0	0	39	0	1	
0	0	0	0	39	0	1	
0	0	0	0	39	0	1	
0	0	0	0	39	0	1	
0	0	0	0	48	0	1	
0	0	0	0	100	0	1	
0	0	0	0	100	0	1	
0	0	0	0	100	0	1	
0	0	0	0	100	17	1	
0	0	0	0	100	35	1	
0	0	0	0	100	37	2	
0	0	0	0	100	42	2	
0	0	0	0	100	46	72	
0	0	0	0	100	46	73	
0	0	0	0	100	60	100	
0	0	0	0	100	68	100	
0	0	0	0	100	74	100	
0	0	0	0	100	78	100	
0	0	0	0	100	82	100	
0	0	0	0	100	84	100	
0	0	0	0	100	94	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	16	0	100	100	100	
71	89	100	100	100	100	100	
100	100	100	100	100	100	100	
