TYPE_ACCELEROMETER	TYPE_GRAVITY	TYPE_GYROSCOPE	TYPE_LINEAR_ACCELERATION	TYPE_MAGNETIC_FIELD	TYPE_PRESSURE	TYPE_ROTATION_VECTOR	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	4	0	0	
0	0	0	0	7	0	0	
0	0	0	0	9	0	0	
0	0	0	0	19	0	0	
0	0	0	0	35	0	0	
0	0	0	0	43	0	0	
0	0	0	0	44	0	0	
0	0	0	0	44	0	0	
0	0	0	0	46	0	0	
0	0	0	0	54	0	7	
0	0	0	0	92	0	8	
0	0	0	0	92	0	8	
0	0	0	0	92	0	8	
0	0	0	0	92	0	8	
0	0	0	0	92	0	8	
0	0	0	0	92	0	8	
0	0	0	0	100	0	8	
0	0	0	0	100	1	9	
0	0	0	0	100	2	9	
0	0	0	0	100	19	10	
0	0	0	0	100	56	10	
0	0	0	0	100	58	15	
0	0	0	0	100	65	25	
0	0	0	0	100	69	47	
0	0	0	0	100	74	70	
0	0	0	0	100	81	100	
0	0	0	0	100	89	100	
0	0	0	0	100	92	100	
0	0	0	0	100	94	100	
0	0	0	0	100	96	100	
0	0	0	0	100	99	100	
0	0	0	0	100	99	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	0	0	100	100	100	
0	0	24	0	100	100	100	
46	90	100	100	100	100	100	
100	100	100	100	100	100	100	
