TYPE_ACCELEROMETER	TYPE_GRAVITY	TYPE_GYROSCOPE	TYPE_LINEAR_ACCELERATION	TYPE_MAGNETIC_FIELD	TYPE_PRESSURE	TYPE_ROTATION_VECTOR	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	3	0	0	
0	0	0	0	8	0	0	
0	0	0	0	15	0	0	
0	0	0	0	21	0	0	
0	0	0	0	31	0	0	
0	0	0	0	35	0	0	
0	0	0	0	35	0	0	
0	0	0	0	38	0	0	
0	0	0	0	43	0	0	
0	0	0	0	60	0	0	
0	0	0	0	63	0	0	
0	0	0	0	63	0	0	
0	0	0	0	64	0	0	
0	0	0	0	65	0	0	
0	0	0	0	67	0	0	
0	0	0	0	89	0	0	
0	0	0	0	94	0	1	
0	0	0	0	94	0	1	
0	0	0	0	94	26	1	
0	0	0	0	94	69	1	
0	0	0	0	94	74	1	
0	0	0	0	94	77	4	
0	0	0	0	94	80	6	
0	0	0	0	94	82	14	
0	0	0	0	95	88	39	
0	0	0	0	95	91	40	
0	0	0	0	96	94	41	
0	0	0	0	97	96	41	
0	0	0	0	99	97	42	
0	0	0	0	99	97	42	
0	0	0	0	99	98	43	
0	0	0	0	99	99	45	
0	0	0	0	99	100	48	
0	0	0	0	99	100	52	
0	0	0	0	99	100	55	
0	0	0	0	100	100	59	
0	0	0	0	100	100	62	
0	0	0	0	100	100	69	
0	0	0	0	100	100	77	
0	0	0	0	100	100	86	
0	0	37	0	100	100	93	
94	97	100	100	100	100	100	
100	100	100	100	100	100	100	
