TYPE_ACCELEROMETER	TYPE_GRAVITY	TYPE_GYROSCOPE	TYPE_LINEAR_ACCELERATION	TYPE_MAGNETIC_FIELD	TYPE_PRESSURE	TYPE_ROTATION_VECTOR	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	1	0	
0	0	0	0	2	1	0	
0	0	0	0	4	1	0	
0	0	0	0	9	1	0	
0	0	0	0	12	1	0	
0	0	0	0	23	1	0	
0	0	0	0	28	1	0	
0	0	0	0	33	1	0	
0	0	0	0	34	1	0	
0	0	0	0	38	1	2	
0	0	0	0	43	1	4	
0	0	0	0	63	1	4	
0	0	0	0	65	1	4	
0	0	0	0	66	1	4	
0	0	0	0	66	1	4	
0	0	0	0	67	1	4	
0	0	0	0	72	2	4	
0	0	0	0	93	2	4	
0	0	0	0	94	2	4	
0	0	0	0	94	3	4	
0	0	0	0	94	27	4	
0	0	0	0	94	66	4	
0	0	0	0	94	70	5	
0	0	0	0	94	74	7	
0	0	0	0	95	76	9	
0	0	0	0	95	78	16	
0	0	0	0	95	81	36	
0	0	0	0	96	90	37	
0	0	0	0	96	91	37	
0	0	0	0	96	94	37	
0	0	0	0	97	97	37	
0	0	0	0	97	97	37	
0	0	0	0	97	98	37	
0	0	0	0	97	99	39	
0	0	0	0	98	100	40	
0	0	0	0	99	100	43	
0	0	0	0	99	100	49	
0	0	0	0	99	100	54	
0	0	0	0	100	100	58	
0	0	0	0	100	100	66	
0	0	0	0	100	100	77	
0	0	0	0	100	100	87	
0	0	39	0	100	100	92	
98	97	100	100	100	100	100	
100	100	100	100	100	100	100	
