sensor type	# sensors	# devices	min	max	avg
TYPE_ACCELEROMETER	5	5	0.8	0.9826086956521739	0.9230434782608701
TYPE_GRAVITY	4	4	0.97	1.0	0.9964999999999996
TYPE_GYROSCOPE	6	4	0.99	1.0	0.9959000000000005
TYPE_LIGHT	4	4	0.57	0.9	0.7980000000000005
TYPE_LINEAR_ACCELERATION	4	4	0.97	1.0	0.9997
TYPE_MAGNETIC_FIELD	7	5	0.5720930232558139	0.9627906976744186	0.8572093023255811
TYPE_ORIENTATION	6	5	0.6666666666666666	0.9629629629629629	0.8738518518518519
TYPE_PRESSURE	3	3	0.9882352941176471	1.0	0.9956470588235286
TYPE_PROXIMITY	5	5	0.6521739130434783	0.6869565217391305	0.6619130434782602
TYPE_ROTATION_VECTOR	9	4	0.5607142857142857	0.9928571428571429	0.8561785714285713
TYPE_UNKNOWN	8	2	0.5	0.5	0.5
