sensor type	# sensors	# devices	min	max	avg
TYPE_ACCELEROMETER	5	5	0.808695652173913	0.9739130434782609	0.9093043478260873
TYPE_GRAVITY	4	4	0.89	0.97	0.9373000000000006
TYPE_GYROSCOPE	6	4	0.99	1.0	0.9944500000000004
TYPE_LIGHT	4	4	0.69	0.95	0.8283000000000003
TYPE_LINEAR_ACCELERATION	4	4	0.96	1.0	0.9944999999999995
TYPE_MAGNETIC_FIELD	7	5	0.5720930232558139	0.986046511627907	0.8511162790697671
TYPE_ORIENTATION	6	5	0.6222222222222222	0.8740740740740741	0.7625925925925925
TYPE_PRESSURE	3	3	0.9529411764705882	1.0	0.9822352941176455
TYPE_PROXIMITY	5	5	0.6521739130434783	0.6782608695652174	0.6625217391304342
TYPE_ROTATION_VECTOR	9	4	0.6714285714285714	0.975	0.8622142857142857
TYPE_UNKNOWN	8	2	0.5	0.5	0.5
