displayname	timestamp	x	y	z
Htcdesires000	97262821223000	-12.25	-7.25	-42.25
Htcdesires000	97262836055000	-12.5625	-7.8125	-41.8125
Htcdesires000	97262849513000	-12.6875	-8.25	-42.5625
Htcdesires000	97262863673000	-12.5	-8.625	-42.1875
Htcdesires000	97262876033000	-13.0625	-8.875	-42.1875
Htcdesires000	97262890834000	-12.8125	-9.125	-42.5625
Htcdesires000	97262905970000	-11.8125	-8.6875	-42.375
Htcdesires000	97262919947000	-12.5625	-8.375	-41.9375
Htcdesires000	97262933497000	-12.5	-7.75	-42.0625
Htcdesires000	97262948359000	-12.625	-7.4375	-41.75
Htcdesires000	97262961207000	-13.4375	-7.25	-41.375
Htcdesires000	97262975886000	-13.625	-7.0	-42.1875
Htcdesires000	97262988185000	-12.75	-7.1875	-42.1875
Htcdesires000	97263007045000	-12.5625	-6.9375	-42.5625
Htcdesires000	97263019221000	-12.75	-7.3125	-42.9375
Htcdesires000	97263034510000	-12.1875	-7.625	-43.375
Htcdesires000	97263046931000	-12.25	-8.25	-43.75
Htcdesires000	97263057368000	-12.5	-8.3125	-42.9375
Htcdesires000	97263068629000	-12.0	-8.375	-43.3125
Htcdesires000	97263079951000	-12.4375	-8.6875	-42.5625
Htcdesires000	97263093592000	-13.0	-8.5	-42.25
Htcdesires000	97263108424000	-12.5	-8.75	-43.25
Htcdesires000	97263121058000	-12.6875	-8.6875	-42.375
Htcdesires000	97263136134000	-12.1875	-7.875	-42.5
Htcdesires000	97263150172000	-11.9375	-7.75	-42.9375
Htcdesires000	97263166041000	-12.125	-7.8125	-42.5625
Htcdesires000	97263180110000	-12.625	-7.5625	-42.9375
Htcdesires000	97263196009000	-12.9375	-7.75	-43.375
Htcdesires000	97263210078000	-12.625	-7.875	-43.0625
Htcdesires000	97263222682000	-13.0625	-7.625	-43.25
Htcdesires000	97263234736000	-13.0625	-7.75	-42.9375
Htcdesires000	97263249293000	-13.25	-7.9375	-42.5625
Htcdesires000	97263262080000	-13.5625	-7.6875	-41.8125
Htcdesires000	97263274226000	-13.5625	-7.8125	-41.625
Htcdesires000	97263288874000	-12.6875	-7.5625	-41.9375
Htcdesires000	97263303584000	-12.125	-7.9375	-41.8125
Htcdesires000	97263315913000	-12.5625	-7.6875	-41.625
Htcdesires000	97263328028000	-12.125	-8.25	-42.125
Htcdesires000	97263340205000	-12.5	-8.3125	-41.5625
Htcdesires000	97263353572000	-13.3125	-7.6875	-41.625
