displayname	timestamp	x	y	z
Htcdesires000	97298901118000	122.0	0.0	1.0
Htcdesires000	97299041285000	123.0	0.0	1.0
Htcdesires000	97299092372000	122.0	0.0	1.0
Htcdesires000	97299106623000	123.0	0.0	1.0
Htcdesires000	97299174464000	123.0	-1.0	1.0
Htcdesires000	97299189326000	123.0	0.0	1.0
Htcdesires000	97299249690000	122.0	0.0	1.0
Htcdesires000	97299263514000	123.0	0.0	1.0
Htcdesires000	97299368769000	122.0	0.0	1.0
Htcdesires000	97299448786000	121.0	0.0	1.0
Htcdesires000	97300001643000	122.0	0.0	1.0
Htcdesires000	97300110957000	121.0	0.0	1.0
Htcdesires000	97300271205000	120.0	0.0	1.0
Htcdesires000	97300286341000	121.0	0.0	1.0
Htcdesires000	97300375056000	120.0	0.0	1.0
Htcdesires000	97300421595000	121.0	0.0	1.0
Htcdesires000	97300511409000	120.0	0.0	1.0
Htcdesires000	97300553553000	121.0	0.0	1.0
Htcdesires000	97300611109000	122.0	0.0	1.0
Htcdesires000	97300921565000	123.0	0.0	1.0
Htcdesires000	97300934657000	122.0	0.0	1.0
Htcdesires000	97300949580000	122.0	0.0	2.0
Htcdesires000	97300962214000	122.0	0.0	1.0
Htcdesires000	97300986689000	123.0	0.0	1.0
Htcdesires000	97301010859000	122.0	0.0	1.0
Htcdesires000	97301050044000	123.0	0.0	1.0
Htcdesires000	97301077204000	122.0	0.0	1.0
Htcdesires000	97301122187000	121.0	0.0	1.0
Htcdesires000	97301168696000	122.0	0.0	1.0
Htcdesires000	97301189845000	121.0	0.0	1.0
Htcdesires000	97301379054000	122.0	0.0	1.0
Htcdesires000	97301578944000	121.0	0.0	1.0
Htcdesires000	97301628413000	122.0	0.0	1.0
Htcdesires000	97301760249000	121.0	0.0	1.0
Htcdesires000	97301943507000	122.0	0.0	1.0
Htcdesires000	97302379664000	121.0	0.0	1.0
Htcdesires000	97302533656000	120.0	0.0	1.0
Htcdesires000	97302594783000	119.0	-1.0	1.0
Htcdesires000	97302606806000	120.0	0.0	1.0
Htcdesires000	97302720271000	121.0	0.0	1.0
Htcdesires000	97302732051000	120.0	0.0	1.0
Htcdesires000	97302812953000	119.0	0.0	1.0
Htcdesires000	97302835505000	120.0	0.0	1.0
Htcdesires000	97302873469000	119.0	0.0	1.0
Htcdesires000	97302939021000	120.0	0.0	1.0
