displayname	timestamp	x	y	z
Nexus4sven	1468624235782013694	288.0	0.0	0.0
Nexus4sven	1468624237895272160	289.0	0.0	0.0
Nexus4sven	1468624238348366642	288.0	0.0	0.0
Nexus4sven	1468624238499459172	289.0	0.0	0.0
Nexus4sven	1468624238649880314	288.0	0.0	0.0
Nexus4sven	1468624240160726662	289.0	0.0	0.0
Nexus4sven	1468624240313614881	288.0	0.0	0.0
Nexus4sven	1468624241520506112	289.0	0.0	0.0
Nexus4sven	1468624241671568124	288.0	0.0	0.0
Nexus4sven	1468624241825010507	287.0	0.0	0.0
Nexus4sven	1468624241974210946	288.0	0.0	0.0
Nexus4sven	1468624242276273935	287.0	0.0	0.0
Nexus4sven	1468624242428495614	288.0	0.0	0.0
