displayname	timestamp	x	y	z
SamsungGalaxyS3CM	5627488215000	353.1762390136719	-0.8524821400642395	-1.3822911977767944
SamsungGalaxyS3CM	5627494441000	353.1762390136719	-0.8524839282035828	-1.3822882175445557
SamsungGalaxyS3CM	5627507930000	353.17083740234375	-0.8625571727752686	-1.3733551502227783
SamsungGalaxyS3CM	5627514430000	353.17083740234375	-0.8625485897064209	-1.3733490705490112
SamsungGalaxyS3CM	5627527980000	353.16534423828125	-0.8727663159370422	-1.3654388189315796
SamsungGalaxyS3CM	5627533992000	353.1653137207031	-0.8727558851242065	-1.3654614686965942
SamsungGalaxyS3CM	5627547969000	353.1609802246094	-0.8828789591789246	-1.3575667142868042
SamsungGalaxyS3CM	5627554438000	353.16094970703125	-0.882870614528656	-1.3575584888458252
SamsungGalaxyS3CM	5627568049000	353.1562805175781	-0.8930743932723999	-1.3496479988098145
SamsungGalaxyS3CM	5627574427000	353.15625	-0.8930403590202332	-1.3496357202529907
SamsungGalaxyS3CM	5627588008000	353.151123046875	-0.9031949043273926	-1.3414045572280884
SamsungGalaxyS3CM	5627594416000	353.15106201171875	-0.9031510949134827	-1.3414784669876099
SamsungGalaxyS3CM	5627607936000	353.1464538574219	-0.9132657647132874	-1.3327882289886475
SamsungGalaxyS3CM	5627614466000	353.1463928222656	-0.9132286310195923	-1.3327915668487549
SamsungGalaxyS3CM	5627627986000	353.14093017578125	-0.9234381914138794	-1.3238096237182617
SamsungGalaxyS3CM	5627634425000	353.140869140625	-0.9234468340873718	-1.3238722085952759
SamsungGalaxyS3CM	5627647975000	353.1365661621094	-0.9335132241249084	-1.3148819208145142
SamsungGalaxyS3CM	5627654414000	353.136474609375	-0.9334210157394409	-1.3149043321609497
SamsungGalaxyS3CM	5627667964000	353.13214111328125	-0.9434351325035095	-1.3070005178451538
SamsungGalaxyS3CM	5627674403000	353.13201904296875	-0.9433959722518921	-1.3071188926696777
SamsungGalaxyS3CM	5627687983000	353.127685546875	-0.9535333514213562	-1.298863410949707
SamsungGalaxyS3CM	5627694422000	353.1275329589844	-0.9534456729888916	-1.2989381551742554
SamsungGalaxyS3CM	5627707545000	353.1230163574219	-0.9633447527885437	-1.290299415588379
SamsungGalaxyS3CM	5627714411000	353.1228332519531	-0.9633115530014038	-1.29033625125885
SamsungGalaxyS3CM	5627724086000	353.1196594238281	-0.9707528352737427	-1.2837655544281006
SamsungGalaxyS3CM	5627734431000	353.1173400878906	-0.9755588173866272	-1.2793710231781006
SamsungGalaxyS3CM	5627744319000	353.1145324707031	-0.9807121753692627	-1.2748337984085083
SamsungGalaxyS3CM	5627756831000	353.1120910644531	-0.9855937361717224	-1.2705378532409668
SamsungGalaxyS3CM	5627764918000	353.1092529296875	-0.9920551180839539	-1.2647554874420166
SamsungGalaxyS3CM	5627774073000	353.1089172363281	-0.9918535947799683	-1.2648561000823975
SamsungGalaxyS3CM	5627788295000	353.10394287109375	-1.0034916400909424	-1.2545530796051025
SamsungGalaxyS3CM	5627794154000	353.1034851074219	-1.0034266710281372	-1.254644513130188
SamsungGalaxyS3CM	5627807337000	353.09930419921875	-1.0130529403686523	-1.2458852529525757
